name,team,position,wc2026
Ahmed Reda Tagnaouti,Morocco,Goalkeeper,True
Achraf Hakimi,Morocco,Defender,True
Noussair Mazraoui,Morocco,Defender,True
Nayef Aguerd,Morocco,Defender,True
Zakaria El Ouahdi,Morocco,Defender,True
Issa Diop,Morocco,Defender,True
Chadi Riad,Morocco,Defender,True
Youssef Belammari,Morocco,Defender,True
Redouane Halhal,Morocco,Defender,True
Anass Salah-Eddine,Morocco,Defender,True
Sofyan Amrabat,Morocco,Midfield,True
Ayyoub Bouaddi,Morocco,Midfield,True
Chemsdine Talbi,Morocco,Midfield,True
Azzedine Ounahi,Morocco,Midfield,True
Ismael Saibari,Morocco,Midfield,True
Samir El Mourabet,Morocco,Midfield,True
Gessime Yassine,Morocco,Midfield,True
Bilal El Khannouss,Morocco,Midfield,True
Neil El Aynaoui,Morocco,Midfield,True
Soufiane Rahimi,Morocco,Attack,True
Brahim Diaz,Morocco,Attack,True
Abde Ezzalzouli,Morocco,Attack,True
Ayoub El Kaabi,Morocco,Attack,True
Ayoube Amaimouni,Morocco,Attack,True
Johny Placide,Haiti,Goalkeeper,True
Alexandre Pierre,Haiti,Goalkeeper,True
Josue Duverger,Haiti,Goalkeeper,True
Carlens Arcus,Haiti,Defender,True
Keeto Thermoncy,Haiti,Defender,True
Ricardo Ade,Haiti,Defender,True
Hannes Delcroix,Haiti,Defender,True
Martin Experience,Haiti,Defender,True
Duke Lacroix,Haiti,Defender,True
Jean-Kevin Duverne,Haiti,Defender,True
Wilguens Paugain,Haiti,Defender,True
Carl Sainte,Haiti,Midfield,True
Jean-Ricner Bellegarde,Haiti,Midfield,True
Leverton Pierre,Haiti,Midfield,True
Danley Jean Jacques,Haiti,Midfield,True
Dominique Simon,Haiti,Midfield,True
Woodensky Pierre,Haiti,Midfield,True
Derrick Etienne Jr.,Haiti,Attack,True
Duckens Nazon,Haiti,Attack,True
Louicius Deedson,Haiti,Attack,True
Ruben Providence,Haiti,Attack,True
Lenny Joseph,Haiti,Attack,True
Wilson Isidor,Haiti,Attack,True
Yassin Fortune,Haiti,Attack,True
Frantzdy Pierrot,Haiti,Attack,True
Josue Casimir,Haiti,Attack,True
Angus Gunn,Scotland,Goalkeeper,True
Liam Kelly,Scotland,Goalkeeper,True
Craig Gordon,Scotland,Goalkeeper,True
Aaron Hickey,Scotland,Defender,True
Andy Robertson,Scotland,Defender,True
Grant Hanley,Scotland,Defender,True
Kieran Tierney,Scotland,Defender,True
Jack Hendry,Scotland,Defender,True
John Souttar,Scotland,Defender,True
Dom Hyam,Scotland,Defender,True
Nathan Patterson,Scotland,Defender,True
Anthony Ralston,Scotland,Defender,True
Scott McKenna,Scotland,Defender,True
Scott McTominay,Scotland,Midfield,True
John McGinn,Scotland,Midfield,True
Tyler Fletcher,Scotland,Midfield,True
Ryan Christie,Scotland,Midfield,True
Lewis Ferguson,Scotland,Midfield,True
Kenny McLean,Scotland,Midfield,True
Lyndon Dykes,Scotland,Attack,True
Che Adams,Scotland,Attack,True
Ross Stewart,Scotland,Attack,True
Ben Gannon-Doak,Scotland,Attack,True
George Hirst,Scotland,Attack,True
Lawrence Shankland,Scotland,Attack,True
Findlay Curtis,Scotland,Attack,True
Matt Turner,United States,Goalkeeper,True
Matt Freese,United States,Goalkeeper,True
Chris Brady,United States,Goalkeeper,True
Sergino Dest,United States,Defender,True
Chris Richards,United States,Defender,True
Antonee Robinson,United States,Defender,True
Auston Trusty,United States,Defender,True
Miles Robinson,United States,Defender,True
Tim Ream,United States,Defender,True
Alex Freeman,United States,Defender,True
Max Arfsten,United States,Defender,True
Mark McKenzie,United States,Defender,True
Joe Scally,United States,Defender,True
Tyler Adams,United States,Midfield,True
Gio Reyna,United States,Midfield,True
Weston McKennie,United States,Midfield,True
Sebastian Berhalter,United States,Midfield,True
Cristian Roldan,United States,Midfield,True
Malik Tillman,United States,Midfield,True
Ricardo Pepi,United States,Attack,True
Christian Pulisic,United States,Attack,True
Brenden Aaronson,United States,Attack,True
Haji Wright,United States,Attack,True
Folarin Balogun,United States,Attack,True
Tim Weah,United States,Attack,True
Alejandro Zendejas,United States,Attack,True
Gatito Fernandez,Paraguay,Goalkeeper,True
Orlando Gill,Paraguay,Goalkeeper,True
Gaston Olveira,Paraguay,Goalkeeper,True
Gustavo Velazquez,Paraguay,Defender,True
Omar Alderete,Paraguay,Defender,True
Juan Caceres,Paraguay,Defender,True
Fabian Balbuena,Paraguay,Defender,True
Junior Alonso,Paraguay,Defender,True
Jose Canale,Paraguay,Defender,True
Gustavo Gomez,Paraguay,Defender,True
Alexandro Maidana,Paraguay,Defender,True
Ramon Sosa,Paraguay,Midfield,True
Diego Gomez,Paraguay,Midfield,True
Miguel Almiron,Paraguay,Midfield,True
Mauricio,Paraguay,Midfield,True
Andres Cubas,Paraguay,Midfield,True
Damian Bobadilla,Paraguay,Midfield,True
Braian Ojeda,Paraguay,Midfield,True
Matias Galarza,Paraguay,Midfield,True
Antonio Sanabria,Paraguay,Attack,True
Kaku,Paraguay,Attack,True
